,change_type,history,osm_type,osm_id,geometry,tag_key,tag_value,start_ds,end_ds
27,modify,new,way,456788712,"POLYGON ((131.8619205 37.2411329, 131.8619205 37.2419473, 131.861393 37.2419473, 131.861393 37.2411329, 131.8619205 37.2411329))",source,GSI/std,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
28,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name:ja,キムバウィ,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
29,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name,김바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
30,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name:en,Gimbawi,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
31,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name:ko,김바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
32,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",natural,coastline,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
33,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",place,islet,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
34,modify,old,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",source,GSI/std,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
35,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name,김바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
36,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name:en,Gimbawi,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
37,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name:ja,キンバウィ,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
38,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",name:ko,김바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
39,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",natural,coastline,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
40,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",place,islet,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
41,modify,new,way,456788730,"POLYGON ((131.86634 37.2435103, 131.86634 37.2439161, 131.8659486 37.2439161, 131.8659486 37.2435103, 131.86634 37.2435103))",source,GSI/std,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
42,modify,old,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",place,islet,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
43,modify,old,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",name,상장군바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
44,modify,new,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",name,상장군바위,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
45,modify,new,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",name:en,Sangjanggunbawi,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
46,modify,new,way,791749544,"POLYGON ((131.8634275 37.2424161, 131.8634275 37.2429537, 131.8624817 37.2429537, 131.8624817 37.2424161, 131.8634275 37.2424161))",name:ja,サンジャングンバウィ,2022-01-17T00:00:00Z,2022-01-22T08:00:00Z
